+CSCOE+/logon.html,https://shvpn02.sankuai.com/+CSCOE+/logon.html,,35,200,11289,1676,398,text/html; charset=utf-8,249.131093ms,
favicon.ico,https://mindray.box.lenovo.com/favicon.ico,,4901,200,4286,6,282,image/x-icon,219.219082ms,
favicon.ico,https://mindrayfile.box.lenovo.com/favicon.ico,,4901,200,4286,6,282,image/x-icon,221.801553ms,
favicon.ico,https://minsights.box.lenovo.com/favicon.ico,,4901,200,4286,6,282,image/x-icon,216.053528ms,
favicon.ico,https://minsights.extres.box.lenovo.com/favicon.ico,,4901,200,4286,6,282,image/x-icon,218.328512ms,
gulpfile.js,https://mindray.box.lenovo.com/gulpfile.js,,5224,200,372,38,12,application/x-javascript,213.534714ms,
gulpfile.js,https://mindrayfile.box.lenovo.com/gulpfile.js,,5224,200,372,38,12,application/x-javascript,226.21386ms,
gulpfile.js,https://minsights.box.lenovo.com/gulpfile.js,,5224,200,372,38,12,application/x-javascript,221.939775ms,
gulpfile.js,https://minsights.extres.box.lenovo.com/gulpfile.js,,5224,200,372,38,12,application/x-javascript,217.788385ms,
health,http://history.sankuai.com/health,,5249,200,2,1,1,text/html; charset=utf-8,308.602688ms,
healthz,https://mindray.box.lenovo.com/healthz,,5252,200,0,1,1,text/html,216.882096ms,
healthz,https://mindrayfile.box.lenovo.com/healthz,,5252,200,0,1,1,text/html,215.966701ms,
healthz,https://minsights.box.lenovo.com/healthz,,5252,200,0,1,1,text/html,214.846716ms,
healthz,https://minsights.extres.box.lenovo.com/healthz,,5252,200,0,1,1,text/html,242.590963ms,
index.html,http://min.lenovo.service.lenovo.com.cn/index.html,,5500,200,434,14,17,text/html; charset=UTF-8,215.963485ms,
index.html,http://mini.mail.service.lenovo.com.cn/index.html,,5500,200,434,14,17,text/html; charset=UTF-8,215.945582ms,
index.html,https://min.lenovo.service.lenovo.com.cn/index.html,,5500,200,434,14,17,text/html; charset=UTF-8,214.903623ms,
index.html,https://mini.mail.service.lenovo.com.cn/index.html,,5500,200,434,14,17,text/html; charset=UTF-8,221.901507ms,
index.html,https://miniprogram.lenovomm.com/index.html,,5500,200,471,64,25,text/html,240.826121ms,
js/config.js,https://mindray.box.lenovo.com/js/config.js,,5742,200,2881,407,79,application/x-javascript,219.753127ms,
js/config.js,https://mindrayfile.box.lenovo.com/js/config.js,,5742,200,2881,407,79,application/x-javascript,219.978895ms,
js/config.js,https://minsights.box.lenovo.com/js/config.js,,5742,200,2881,407,79,application/x-javascript,217.625223ms,
js/config.js,https://minsights.extres.box.lenovo.com/js/config.js,,5742,200,2881,407,79,application/x-javascript,223.091694ms,
login,http://registry.meituan.com:8080/login,,6014,200,31948,1613,138,text/html;charset=UTF-8,317.367168ms,
login,https://minoris.partnerhub.lenovo.com/login,,6014,200,22191,903,201,text/html; charset=utf-8,331.611342ms,
login.html,https://minsights.lenovo.com/login/login.html,,6022,200,2710,773,61,text/html; charset=UTF-8,554.518702ms,
login/,http://history.sankuai.com/login/,,6033,200,248147,28736,267,text/html; charset=utf-8,624.229228ms,
login/,http://registry.meituan.com:8080/login/,,6033,200,31948,1613,138,text/html;charset=UTF-8,327.13096ms,
login/,https://minoris.partnerhub.lenovo.com/login/,,6033,200,22191,903,201,text/html; charset=utf-8,256.894078ms,
login/,https://minsights.lenovo.com/login/,,6033,200,2710,773,61,text/html; charset=UTF-8,728.56044ms,
manager/,https://mindray.box.lenovo.com/manager/,,6190,200,1381,352,51,text/html,219.020389ms,
manager/,https://mindrayfile.box.lenovo.com/manager/,,6190,200,1381,352,51,text/html,219.971928ms,
manager/,https://minsights.box.lenovo.com/manager/,,6190,200,1381,352,51,text/html,216.321905ms,
manager/,https://minsights.extres.box.lenovo.com/manager/,,6190,200,1381,352,51,text/html,231.413133ms,
payments,https://minoris.partnerhub.lenovo.com/payments,,6867,200,22194,903,201,text/html; charset=utf-8,1.474764731s,
ping,http://history.sankuai.com/ping,,7252,200,2,1,1,text/html; charset=utf-8,309.531487ms,
prod-api/druid/index.html,http://min.lenovo.service.lenovo.com.cn/prod-api/druid/index.html,,7415,200,434,14,17,text/html; charset=UTF-8,664.425061ms,
prod-api/druid/index.html,http://mini.mail.service.lenovo.com.cn/prod-api/druid/index.html,,7415,200,434,14,17,text/html; charset=UTF-8,219.482265ms,
prod-api/druid/index.html,https://min.lenovo.service.lenovo.com.cn/prod-api/druid/index.html,,7415,200,434,14,17,text/html; charset=UTF-8,212.89125ms,
